rating,disp_diag,camera,storage,ram,battery_capacity,disp_height,disp_width,oper_syst_vers,year_of_release,log_price,density,Other_oper_syst,IOS_oper_syst,battery_type_LiIon,battery_type_LiPo,brand_Apple,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi
4.3,6.53,16.0,64.0,4.0,4020.0,2340.0,1080.0,9,2019,10.239924074233857,59267.04173692394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.8,6.2,16.0,64.0,4.0,4230.0,1520.0,720.0,8,2018,9.740968623038354,28470.343392299685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.0,5.5,8.0,16.0,3.0,3000.0,1280.0,720.0,5,2016,9.775199532234597,30466.11570247934,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,5.5,5.0,16.0,3.0,4150.0,1280.0,720.0,6,2017,9.910463166272553,30466.11570247934,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5.5,5.0,16.0,2.0,4150.0,1280.0,720.0,5,2016,9.506734385029985,30466.11570247934,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,5.0,5.0,16.0,1.0,2200.0,1280.0,720.0,6,2016,9.66770192587285,36864.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4,5.5,16.0,16.0,2.0,3080.0,1280.0,720.0,7,2017,9.648595302907339,30466.11570247934,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.6,5.5,5.0,64.0,4.0,3080.0,1920.0,1080.0,7,2017,9.322775801305971,68548.76033057852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,6.44,5.0,128.0,4.0,4850.0,1920.0,1080.0,6,2016,9.322775801305971,49998.07106207321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.5,6.44,5.0,64.0,3.0,4850.0,1920.0,1080.0,6,2016,10.239959789157341,49998.07106207321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,6.44,5.0,32.0,3.0,4850.0,1920.0,1080.0,6,2016,9.126850061477157,49998.07106207321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,5.0,5.0,32.0,2.0,3120.0,1280.0,720.0,6,2016,9.392578591964389,36864.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,5.0,5.0,16.0,2.0,3120.0,1280.0,720.0,6,2016,9.392661928770137,36864.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.7,5.15,4.0,32.0,3.0,3000.0,1920.0,1080.0,6,2016,9.156939595249067,78182.6750871901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.5,5.99,5.0,128.0,8.0,3400.0,2160.0,1080.0,7,2017,9.704975636343447,65016.541202504995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.5,5.99,5.0,256.0,6.0,3400.0,2160.0,1080.0,7,2017,9.305559638557117,65016.541202504995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.3,5.99,5.0,128.0,6.0,3400.0,2160.0,1080.0,7,2017,9.615138591096644,65016.541202504995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,5.5,16.0,128.0,6.0,3500.0,1920.0,1080.0,7,2017,9.305559638557117,68548.76033057852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,5.5,16.0,64.0,6.0,3500.0,1920.0,1080.0,7,2017,9.752664662801545,68548.76033057852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.7,5.71,8.0,32.0,3.0,3000.0,1520.0,720.0,9,2019,9.635608107380527,33566.33061486132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.7,5.71,8.0,16.0,2.0,3000.0,1520.0,720.0,9,2019,9.305559638557117,33566.33061486132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,6.2,5.0,16.0,2.0,4000.0,1520.0,720.0,9,2019,9.433483923290392,28470.343392299685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.0,5.45,5.0,16.0,1.0,2500.0,960.0,480.0,9,2021,9.305559638557117,15513.845635889234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.0,5.45,5.0,8.0,1.0,2500.0,960.0,480.0,9,2021,9.74090979777877,15513.845635889234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,5.99,20.0,128.0,6.0,3320.0,2880.0,1440.0,9,2019,10.950806546816688,115584.96213778667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4.8,5.84,8.0,32.0,3.0,3060.0,2280.0,1080.0,8,2018,9.769956159911606,72199.28692062301,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.8,5.86,8.0,32.0,3.0,3060.0,1520.0,720.0,8,2018,9.581903928408666,31869.91112301832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.8,5.2,8.0,16.0,2.0,2990.0,1440.0,720.0,8,2018,9.210340371976184,38343.19526627219,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
