phone_title,const,rating,disp_diag,camera,storage,ram,battery_capacity,year_of_release,log_price,density,Other_oper_syst,battery_type_LiPo,brand_Apple,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo
Tecno F2,1.0,3.4,5.0,2.0,8.0,1.0,2.0,2018,9.392578591964389,1.63968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno Camon X,1.0,3.9,6.0,20.0,16.0,3.0,3.75,2017,9.350015354048665,2.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno Spark Pro K8,1.0,3.9,5.5,8.0,16.0,1.0,3.0,2017,10.126591103050316,3.0466115702479337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tecno Camon C9,1.0,3.7,5.5,13.0,16.0,2.0,3.0,2016,9.952230096524119,6.8548760330578515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oppo A31 4GB/64GB,1.0,3.3,6.5,8.0,64.0,4.0,4.23,2015,9.798071479779479,2.7266272189349112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo Reno 3 Youth 8GB/128GB,1.0,3.8,6.4,32.0,128.0,8.0,4.025,2020,10.126631103850338,6.328124999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo F15 8GB/128GB,1.0,2.8,6.4,16.0,128.0,8.0,4.025,2020,10.341742483467284,6.328124999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo Reno 3 8GB/128GB,1.0,3.4,6.4,32.0,128.0,8.0,4.025,2020,10.518646164234097,6.328124999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo A8 4GB/128GB,1.0,3.5,6.5,8.0,128.0,4.0,4.23,2019,9.471550124096849,2.7266272189349112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo Reno 2F 8GB/128GB,1.0,3.5,6.5,16.0,128.0,8.0,4.0,2019,10.419300717813158,5.981538461538462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oppo Reno Ace 8GB/128GB,1.0,4.2,6.5,16.0,128.0,8.0,4.0,2019,11.050874132231819,6.13491124260355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
